year,category_slug,entries,status,url
2020,entertainment-lions-for-sport,296,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment-lions-for-sport?tag=publication+dates%40%40year%40%402020
2020,brand-experience-activation,1160,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/brand-experience-activation?tag=publication+dates%40%40year%40%402020
2020,creative-business-transformation,99,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-business-transformation?tag=publication+dates%40%40year%40%402020
2020,creative-commerce,158,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-commerce?tag=publication+dates%40%40year%40%402020
2020,innovation,71,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/innovation?tag=publication+dates%40%40year%40%402020
2020,luxury,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/luxury?tag=publication+dates%40%40year%40%402020
2020,glass-the-lion-for-change,87,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/glass-the-lion-for-change?tag=publication+dates%40%40year%40%402020
2020,sustainable-development-goals,380,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/sustainable-development-goals?tag=publication+dates%40%40year%40%402020
2020,health-wellness,577,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/health-wellness?tag=publication+dates%40%40year%40%402020
2020,pharma,171,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/pharma?tag=publication+dates%40%40year%40%402020
2020,creative-effectiveness,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-effectiveness?tag=publication+dates%40%40year%40%402020
2020,creative-strategy,371,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-strategy?tag=publication+dates%40%40year%40%402020
2020,titanium,80,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/titanium?tag=publication+dates%40%40year%40%402020
2021,audio-radio,542,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/audio-radio?tag=publication+dates%40%40year%40%402021
2021,film,1605,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film?tag=publication+dates%40%40year%40%402021
2021,outdoor,1039,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/outdoor?tag=publication+dates%40%40year%40%402021
2021,print-publishing,600,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/print-publishing?tag=publication+dates%40%40year%40%402021
2021,design,626,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/design?tag=publication+dates%40%40year%40%402021
2021,digital-craft,399,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/digital-craft?tag=publication+dates%40%40year%40%402021
2021,film-craft,1205,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/film-craft?tag=publication+dates%40%40year%40%402021
2021,industry-craft,638,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/industry-craft?tag=publication+dates%40%40year%40%402021
2021,creative-b2b,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-b2b?tag=publication+dates%40%40year%40%402021
2021,creative-data,148,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/creative-data?tag=publication+dates%40%40year%40%402021
2021,direct,1016,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/direct?tag=publication+dates%40%40year%40%402021
2021,media,945,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/media?tag=publication+dates%40%40year%40%402021
2021,pr,838,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/pr?tag=publication+dates%40%40year%40%402021
2021,social-creator,867,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/social-creator?tag=publication+dates%40%40year%40%402021
2021,entertainment,498,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment?tag=publication+dates%40%40year%40%402021
2021,entertainment-lions-for-gaming,0,ok,https://www.lovethework.com/en/awards/winners-shortlists/cannes-lions/entertainment-lions-for-gaming?tag=publication+dates%40%40year%40%402021
